Date,Flux,Source
2024-07-06,470000.0,Real
2024-07-07,210000.0,Real
2024-07-08,460000.0,Real
2024-07-09,480000.0,Real
2024-07-10,490000.0,Real
2024-07-11,500000.0,Interpolated
2024-07-12,510000.0,Real
2024-07-13,510000.0,Real
2024-07-14,580000.0,Real
2024-07-15,510000.0,Real
2024-07-16,490000.0,Real
2024-07-17,470000.0,Real
2024-07-18,470000.0,Real
2024-07-19,480000.0,Real
2024-07-20,520000.0,Real
2024-07-21,560000.0,Real
2024-07-22,520000.0,Real
2024-07-23,540000.0,Real
2024-07-24,460000.0,Real
2024-07-25,480000.0,Real
2024-07-26,460000.0,Real
2024-07-27,540000.0,Real
2024-07-28,610000.0,Real
2024-07-29,530000.0,Real
2024-07-30,520000.0,Interpolated
2024-07-31,510000.0,Real
2024-08-01,510000.0,Real
2024-08-02,500000.0,Real
2024-08-03,530000.0,Real
2024-08-04,520000.0,Real
2024-08-05,540000.0,Real
2024-08-06,580000.0,Real
2024-08-07,600000.0,Real
2024-08-08,610000.0,Real
2024-08-09,570000.0,Real
2024-08-10,560000.0,Real
2024-08-11,520000.0,Real
2024-08-12,530000.0,Real
2024-08-13,530000.0,Real
2024-08-14,520000.0,Real
2024-08-15,490000.0,Real
2024-08-16,480000.0,Real
2024-08-17,440000.0,Real
2024-08-18,450000.0,Real
2024-08-19,480000.0,Real
2024-08-20,500000.0,Real
2024-08-21,510000.0,Real
2024-08-22,580000.0,Real
2024-08-23,600000.0,Real
2024-08-24,570000.0,Real
2024-08-25,520000.0,Real
2024-08-26,515000.0,Interpolated
2024-08-27,510000.0,Real
2024-08-28,520000.0,Real
2024-08-29,530000.0,Real
2024-08-30,610000.0,Real
2024-08-31,700000.0,Real
2024-09-01,540000.0,Real
2024-09-02,540000.0,Real
2024-09-03,530000.0,Real
2024-09-04,550000.0,Real
2024-09-05,540000.0,Real
2024-09-06,550000.0,Real
2024-09-07,560000.0,Real
2024-09-08,540000.0,Real
2024-09-09,540000.0,Real
2024-09-10,540000.0,Real
2024-09-11,540000.0,Real
2024-09-12,560000.0,Real
2024-09-13,510000.0,Real
2024-09-14,480000.0,Real
2024-09-15,490000.0,Real
2024-09-16,460000.0,Real
2024-09-17,460000.0,Real
2024-09-18,490000.0,Real
2024-09-19,470000.0,Real
2024-09-20,490000.0,Real
2024-09-21,480000.0,Real
2024-09-22,460000.0,Real
2024-09-23,480000.0,Real
2024-09-24,500000.0,Real
2024-09-25,490000.0,Real
2024-09-26,500000.0,Real
2024-09-27,480000.0,Real
2024-09-28,500000.0,Real
2024-09-29,510000.0,Real
2024-09-30,510000.0,Real
2024-10-01,530000.0,Real
2024-10-02,550000.0,Real
2024-10-03,580000.0,Real
2024-10-04,600000.0,Real
2024-10-05,570000.0,Real
2024-10-06,750000.0,Real
2024-10-07,590000.0,Real
2024-10-08,570000.0,Real
2024-10-09,590000.0,Real
2024-10-10,560000.0,Real
2024-10-11,500000.0,Real
2024-10-12,530000.0,Real
2024-10-13,540000.0,Real
2024-10-14,510000.0,Real
2024-10-15,510000.0,Real
2024-10-16,510000.0,Real
2024-10-17,520000.0,Real
2024-10-18,460000.0,Real
2024-10-19,470000.0,Real
2024-10-20,480000.0,Real
2024-10-21,470000.0,Real
2024-10-22,470000.0,Real
2024-10-23,490000.0,Real
2024-10-24,610000.0,Real
2024-10-25,540000.0,Real
2024-10-26,540000.0,Real
2024-10-27,520000.0,Real
2024-10-28,520000.0,Real
2024-10-29,530000.0,Real
2024-10-30,520000.0,Real
2024-10-31,520000.0,Real
2024-11-01,520000.0,Real
2024-11-02,550000.0,Real
2024-11-03,520000.0,Real
2024-11-04,530000.0,Real
2024-11-05,530000.0,Real
2024-11-06,640000.0,Real
2024-11-07,590000.0,Real
2024-11-08,590000.0,Real
2024-11-09,530000.0,Real
2024-11-10,520000.0,Real
2024-11-11,450000.0,Real
2024-11-12,450000.0,Real
2024-11-13,440000.0,Real
2024-11-14,430000.0,Real
2024-11-15,480000.0,Real
2024-11-16,530000.0,Real
2024-11-17,470000.0,Real
2024-11-18,450000.0,Real
2024-11-19,440000.0,Real
2024-11-20,440000.0,Real
2024-11-21,500000.0,Real
2024-11-22,530000.0,Real
2024-11-23,560000.0,Real
2024-11-24,530000.0,Real
2024-11-25,580000.0,Real
2024-11-26,740000.0,Real
2024-11-27,610000.0,Real
2024-11-28,540000.0,Real
2024-11-29,490000.0,Real
2024-11-30,580000.0,Real
2024-12-01,550416.6666666666,Interpolated
2024-12-02,550000.0,Real
2024-12-03,520000.0,Real
2024-12-04,540000.0,Real
2024-12-05,520000.0,Real
2024-12-06,390000.0,Real
2024-12-07,480000.0,Real
2024-12-08,480000.0,Real
2024-12-09,450000.0,Real
2024-12-10,450000.0,Real
2024-12-11,370000.0,Real
2024-12-12,350000.0,Real
2024-12-13,390000.0,Real
2024-12-14,470000.0,Real
2024-12-15,520000.0,Real
2024-12-16,750000.0,Real
2024-12-17,500000.0,Real
2024-12-18,530000.0,Real
