Date,Flux,Source
2025-07-30,420000.0,Real
2025-07-31,390000.0,Real
2025-08-01,400000.0,Real
2025-08-02,470000.0,Real
2025-08-03,480000.0,Real
2025-08-04,430000.0,Real
2025-08-05,430000.0,Real
2025-08-06,440000.0,Real
2025-08-07,460000.0,Real
2025-08-08,480000.0,Real
2025-08-09,420000.0,Real
2025-08-10,420000.0,Real
2025-08-11,450000.0,Real
2025-08-12,420000.0,Real
2025-08-13,400000.0,Real
2025-08-14,380000.0,Real
2025-08-15,390000.0,Real
2025-08-16,380000.0,Real
2025-08-17,370000.0,Real
2025-08-18,370000.0,Real
2025-08-19,400000.0,Real
2025-08-20,390000.0,Real
2025-08-21,370000.0,Real
2025-08-22,420000.0,Real
2025-08-23,410000.0,Real
2025-08-24,410000.0,Interpoliated
2025-08-25,410000.0,Real
2025-08-26,440000.0,Real
2025-08-27,480000.0,Real
2025-08-28,510000.0,Real
2025-08-29,510000.0,Real
2025-08-30,509178.08219178085,Interpoliated
2025-08-31,508356.16438356164,Interpoliated
2025-09-01,450821.9178082192,Interpoliated
2025-09-02,450000.0,Real
2025-09-03,490000.0,Real
2025-09-04,450000.0,Real
2025-09-05,450000.0,Real
2025-09-06,410000.0,Real
2025-09-07,410000.0,Real
2025-09-08,430000.0,Real
2025-09-09,390000.0,Real
2025-09-10,360000.0,Real
2025-09-11,360000.0,Real
2025-09-12,370000.0,Real
2025-09-13,370000.0,Real
2025-09-14,560000.0,Real
2025-09-15,390000.0,Real
2025-09-16,400000.0,Real
2025-09-17,410000.0,Real
2025-09-18,420000.0,Real
2025-09-19,430000.0,Real
2025-09-20,450000.0,Real
2025-09-21,450000.0,Real
2025-09-22,500000.0,Real
2025-09-23,460000.0,Real
2025-09-24,460000.0,Real
2025-09-25,430000.0,Real
2025-09-26,430000.0,Real
2025-09-27,450000.0,Real
2025-09-28,420000.0,Real
2025-09-29,420000.0,Real
2025-09-30,420000.0,Real
2025-10-01,550000.0,Real
2025-10-02,540000.0,Real
2025-10-03,490000.0,Real
2025-10-04,460000.0,Real
2025-10-05,450000.0,Real
2025-10-06,400000.0,Real
2025-10-07,390000.0,Real
2025-10-08,380000.0,Real
2025-10-09,390000.0,Real
2025-10-10,390000.0,Real
2025-10-11,390000.0,Real
2025-10-12,410000.0,Real
2025-10-13,430000.0,Real
2025-10-14,427333.3333333333,Interpoliated
2025-10-15,424666.6666666667,Interpoliated
2025-10-16,422000.0,Interpoliated
2025-10-17,419333.3333333333,Interpoliated
2025-10-18,416666.6666666667,Interpoliated
2025-10-19,414000.0,Interpoliated
2025-10-20,411333.3333333333,Interpoliated
2025-10-21,408666.6666666667,Interpoliated
2025-10-22,406000.0,Interpoliated
2025-10-23,403333.3333333333,Interpoliated
2025-10-24,400666.6666666667,Interpoliated
2025-10-25,398000.0,Interpoliated
