,Old,New,difference,ratio
0,328786.39272851555,285178.9606484375,43607.432080078055,1.1529125149377213
1,462533.0762773437,453093.62726660154,9439.44901074213,1.0208333298962686
2,390570.7663720703,342745.7755576172,47824.99081445311,1.1395348804420595
3,437511.72796875006,410725.2975585938,26786.43041015626,1.0652173863391867
4,418644.59191992186,367381.9927597656,51262.59916015627,1.1395348715245206
5,415192.13045507815,355878.9726640625,59313.157791015634,1.1666666545286597
6,502618.25539941405,420558.1376816406,82060.11771777342,1.1951219352694877
7,482167.470725586,413286.40830175777,68881.06242382823,1.1666666530527063
8,322592.24147363286,276507.638109375,46084.60336425784,1.16666665586297
9,1626224.8117333984,1427095.251859375,199129.5598740233,1.1395348766065725
10,417177.18406738277,417177.18696386716,-0.0028964843950234354,0.9999999930569444
11,578418.0659892578,543004.7198798829,35413.34610937489,1.0652173817516883
12,550482.1045898438,494310.4683066406,56171.636283203145,1.1136363477707245
13,488818.1637587891,458890.5298291015,29927.633929687552,1.0652173709944137
14,845242.3892548828,776243.0340488281,68999.35520605475,1.0888888559117356
15,456319.54009960935,428381.62275000004,27937.917349609314,1.0652173572952583
16,404286.5605087891,437289.5598613281,-33002.99935253902,0.9245282705514286
17,510018.58323437494,598491.2232714843,-88472.64003710932,0.8521738722357557
18,512758.2817578125,648796.2328046875,-136037.95104687498,0.7903225324555366
19,2202357.9923457033,2988914.6022939454,-786556.6099482421,0.7368420598753233
20,569383.2460234375,860197.9722236329,-290814.7262001954,0.6619211674628432
21,1303614.2875361328,1170592.5164404297,133021.77109570312,1.1136362732782534
22,510211.8130703125,645574.1691796874,-135362.3561093749,0.7903225336890787
23,353745.5760634765,382622.79202832025,-28877.215964843752,0.9245282388648025
24,360334.2156748047,352980.4768896484,7353.738785156282,1.0208332734148786
25,351724.67060546874,323012.4645986328,28712.206006835913,1.088888848430394
26,381086.71856738284,342200.335493164,38886.383074218815,1.113636309029848
27,393800.0088876954,337542.88193554693,56257.12695214845,1.166666607304996
28,371820.52494238276,303526.96851757815,68293.55642480461,1.2249999621396064
29,382225.27313085936,320996.07586035156,61229.19727050781,1.190747494673877
30,416033.91593847657,339619.5237050781,76414.39223339845,1.2249999982325983
31,468971.34996875,392404.6011748047,76566.7487939453,1.1951219444540535
32,389866.7573632813,334171.508071289,55695.24929199228,1.1666666605224487
33,546911.4164853515,524588.5028320312,22322.913653320284,1.042553188895312
34,1680646.4683613281,1440554.115038086,240092.35332324216,1.1666666672337362
35,1744022.9753447264,1423692.2189580076,320330.7563867187,1.2250000050019005
36,1004598.6334960936,1007038.4673447264,-2439.833848632872,0.9975772188176029
37,661096.2086777344,566653.885788086,94442.32288964838,1.1666666818287157
38,770155.5868867188,723003.1965771484,47152.39030957036,1.0652174022643328
39,463481.0767324219,425645.8827373047,37835.19399511715,1.088888899269508
40,431347.45115234377,387332.4025078125,44015.048644531285,1.1136363711364001
41,426831.0535322266,365855.1872207031,60975.86631152348,1.1666666715176013
42,409859.3498701172,334579.0606464844,75280.28922363283,1.2250000017280636
43,378162.66774121096,324139.4295488281,54023.23819238285,1.166666666463806
44,363412.16630078125,326329.29293652344,37082.8733642578,1.1136363610834994
45,275273.93819433596,235949.09041308594,39324.84778125002,1.1666666640350356
46,301318.0579707031,270571.31721875,30746.740751953097,1.1136363642236886
47,408071.8573544921,366431.8702128907,41639.98714160145,1.1136363687945847
48,424265.8627421875,398290.39913574216,25975.46360644535,1.0652173983174338
49,526538.8300458984,451318.9941220704,75219.83592382807,1.1666666745771461
50,509564.75362695317,447169.0643320313,62395.689294921875,1.1395348969144965
51,626099.5118349609,613321.963038086,12777.548796874937,1.0208333462144115
52,1296548.1743974609,1190707.4875585937,105840.68683886714,1.0888889067590237
53,473716.80379589845,386707.58996582025,87009.2138300782,1.2250000157425631
54,956647.8149189452,839507.2532392578,117140.56167968735,1.139534901250344
55,402079.9186601562,369257.06367480464,32822.85498535156,1.088888902107118
56,546678.1543017578,468581.2723613281,78096.88194042968,1.1666666735246907
57,297042.0076894531,254607.4354501953,42434.57223925777,1.1666666653478726
58,312456.38958203123,255066.43895898436,57389.95062304687,1.2250000072815357
59,226785.78134570312,151024.3432939453,75761.43805175781,1.501650504808354
60,597549.2147919922,357427.3779951172,240121.836796875,1.6718059431926204
61,991703.5810761721,769076.2451357421,222627.33594042994,1.2894736865798477
62,400845.84707421873,319040.57082421874,81805.27625,1.256410261675065
63,440560.1288339843,386613.9876132813,53946.14122070302,1.1395348925519575
64,431653.9358320312,378798.3478300781,52855.58800195309,1.1395348958218348
65,494094.0715048829,403342.0933964843,90751.97810839856,1.2250000175885178
66,394430.1474404297,330033.3837763672,64396.76366406254,1.1951219689572319
67,296690.2466142578,248251.0181435547,48439.22847070309,1.1951219730454132
68,2943804.864499023,2524299.2626816407,419505.6018173825,1.1661869525611352
69,10884815.905607425,8867161.682085937,2017654.2235214878,1.2275422842010082
70,2448320.0755283204,2148525.7082792968,299794.36724902363,1.1395349220601703
71,1024548.4920283201,857275.2334501954,167273.2585781247,1.1951220005562457
72,2625519.5532314456,2250445.226717774,375074.3265136718,1.1666667209051382
73,156525.40979492187,143747.81795996096,12777.591834960913,1.0888889446552847
74,190140.1963515625,170738.1262558594,19402.070095703122,1.1136364239269452
75,239902.28015429687,235006.302078125,4895.9780761718575,1.0208333905639018
76,2213035.9661279297,2032379.852133789,180656.11399414064,1.0888889514450117
77,6274540.866237305,4296594.477263672,1977946.3889736328,1.4603521229290661
78,216092.34936132815,176401.90667089843,39690.442690429714,1.2250000776039094
79,297452.94225878903,248889.18050000002,48563.76175878901,1.1951220284514898
80,223432.59386914063,196073.48734277344,27359.10652636719,1.1395349615959975
81,239725.63083496096,190802.01952734374,48923.61130761722,1.2564103431861526
82,241440.84644628907,206949.2829423828,34491.563503906276,1.1666667456562734
83,257671.84117871092,152499.65073339845,105172.19044531247,1.6896552873368584
84,230310.85497265623,202109.5117285156,28201.343244140648,1.1395349630156062
85,166805.193359375,136167.4948876953,30637.6984716797,1.2250000890223343
86,,,,
87,133039.2851484375,114033.67282324217,19005.61232519534,1.1666666683152
88,114780.78984863282,89013.67354296875,25767.116305664065,1.2894736873568726
89,159036.5808359375,120088.84616601562,38947.734669921876,1.324324330804869
90,113207.66925,97035.14455468749,16172.524695312517,1.1666666728795148
91,110147.05721093749,96659.66187890625,13487.395332031243,1.139534890458525
92,148168.54949023438,136073.15666796875,12095.392822265625,1.0888888971083366
93,182982.16693847656,182982.16539062498,0.0015478515706490725,1.0000000084590297
94,,,,
95,,,,
96,,,,
97,192901.6280419922,157470.7152949219,35430.91274707031,1.225000011466976
98,213485.69466210937,174274.03505957033,39211.65960253903,1.225000009835864
99,192380.17000390627,160971.16118066406,31409.008823242213,1.1951219621755147
100,157984.23306250002,141863.39137890626,16120.841683593753,1.1136363760015875
101,159067.43771972656,142836.06462304687,16231.373096679687,1.1136363784560663
102,137481.2645654297,129064.04269433593,8417.221871093774,1.0652174044402778
103,,,,
104,,,,
105,164104.7874609375,167453.8628251953,-3349.075364257791,0.9800000113001043
106,,,,
107,122158.84357226561,114679.7294453125,7479.114126953107,1.0652174029632646
108,106877.27560546875,91609.09221679688,15268.183388671867,1.1666666814309115
109,92802.45886035156,77651.03605371094,15151.422806640621,1.195121965869978
110,117016.02060546874,90747.11714160157,26268.903463867173,1.2894736967002185
111,119672.18589550782,107460.73725292968,12211.448642578136,1.1136363750588842
112,181030.57830664061,147780.0625419922,33250.515764648415,1.225000011454185
113,148701.26928515625,121388.78999316404,27312.479291992204,1.2250000127155918
114,143437.72500976562,114164.71859082031,29273.00641894531,1.2564102708811746
115,141086.91639648436,97897.0438408203,43189.87255566406,1.4411764733763606
116,143389.7290263672,122905.4816513672,20484.24737499999,1.1666666701905573
117,479866.00981347647,381934.1699384766,97931.83987499989,1.2564102601523586
118,176048.4194638672,158084.2944609375,17964.125002929708,1.1136363676365626
119,225086.76456933597,192931.5116923828,32155.252876953164,1.166666671477818
120,171366.42253320315,143388.23039648437,27978.192136718775,1.195121957076644
121,166486.26329492187,149497.86819335938,16988.39510156249,1.113636370249707
122,166917.80157910154,156698.34319042967,10219.458388671861,1.065217399116036
123,192209.9608486328,168674.04583007813,23535.91501855466,1.1395348934848264
